"ID","Nombre","Actor primario","Actores secundarios","Precondiciones","Postcondiciones","Flujo principal","Flujos alternativos","Requisitos no funcionales asociados","Prioridad"
"UC-01","Registrarse","Invitado","Sistema","No estar autenticado","Cuenta creada en users; usuario puede iniciar sesión","1) Accede a Registro. 2) Ingresa nombre, email, ubicación, contraseña y rol. 3) Envía formulario con CSRF. 4) Sistema valida formato y unicidad de email. 5) Sistema hashea contraseña y persiste users. 6) Sistema muestra confirmación.","A1) Email ya registrado: sistema rechaza y muestra error. A2) CSRF inválido: 403. A3) Campos faltantes/largos: sistema muestra errores.","Seguridad: CSRF, hash de contraseña (bcrypt). Usabilidad: mensajes claros. Integridad: email único.","Alta"
"UC-02","Iniciar sesión","Invitado","Sistema","Cuenta existente; no estar autenticado","Sesión creada (user_id, user_role, etc.) y redirección según rol","1) Accede a Login. 2) Ingresa email y contraseña. 3) Envía con CSRF. 4) Sistema valida credenciales. 5) Sistema crea sesión y redirige a /empleos (user) o /candidatos (recruiter).","A1) Usuario no encontrado: error. A2) Contraseña incorrecta: error. A3) CSRF inválido: 403.","Seguridad: CSRF, protección de credenciales. Disponibilidad: respuesta rápida.","Alta"
"UC-03","Cerrar sesión","Usuario/Reclutador","Sistema","Estar autenticado","Sesión destruida; usuario vuelve a login","1) Usuario hace clic en Salir. 2) Sistema elimina variables de sesión. 3) Sistema destruye sesión y redirige a login.","A1) Sesión ya expirada: redirige a login.","Seguridad: invalidación de sesión.","Media"
"UC-04","Ver oportunidades (feed)","Usuario","Sistema","Estar autenticado con rol user","Lista de oportunidades cargada y navegable","1) Accede a /empleos. 2) Sistema carga oportunidades publicadas. 3) UI muestra tarjeta actual con contador.","A1) Sin oportunidades: UI muestra estado vacío. A2) Error servidor: UI mantiene estado seguro.","Rendimiento: paginación. UX: responsive. Seguridad: solo autenticados.","Alta"
"UC-05","Cargar más oportunidades","Usuario","Sistema","Estar autenticado; estar en /empleos","Se anexan más oportunidades al feed en memoria del cliente","1) Usuario avanza en tarjetas. 2) Al quedar pocas, UI solicita /empleos/feed con limit/offset. 3) Sistema retorna nuevas oportunidades. 4) UI agrega a la cola.","A1) Sin más resultados: UI mantiene estado 'Sin más oportunidades'. A2) Falla red: reintento por interacción/polling.","Rendimiento: limit/offset. Resiliencia: tolerancia a fallas.","Media"
"UC-06","Ver detalle de oportunidad","Usuario","Sistema","Estar autenticado; existir una oportunidad en UI","Modal con descripción/salario/ubicación visible","1) Usuario pulsa botón de info. 2) UI abre modal y muestra datos del job actual.","A1) Datos incompletos: UI muestra placeholders. A2) Modal no disponible: no bloquea el flujo.","Accesibilidad: foco y cierre. UX: tiempos de respuesta.","Baja"
"UC-07","Postular/Guardar oferta","Usuario","Sistema, Reclutador (indirecto)","Estar autenticado; oferta publicada existente","Registro creado/actualizado en job_likes; auditoría registrada; oferta aparece en Guardados y Pipeline del reclutador","1) Usuario pulsa Like en una oferta. 2) UI envía POST /matches/likeJob con CSRF. 3) Sistema inserta/actualiza job_likes (status=postulacion_recibida, updated_at). 4) Sistema registra log de auditoría. 5) Reclutador ve al postulante en su pipeline.","A1) CSRF inválido: 403. A2) job_id inválido: 400. A3) Duplicado: se ignora por UQ (user_id,job_id) y mantiene consistencia.","Seguridad: CSRF. Integridad: UQ y FK lógicos. Auditoría: evento de postulación.","Alta"
"UC-08","Ver ofertas guardadas","Usuario","Sistema","Estar autenticado con rol user","Listado de ofertas guardadas retornado y renderizado","1) Accede a /guardados. 2) UI solicita /matches/listJobs. 3) Sistema retorna jobs guardados por el user.","A1) Sin guardados: mensaje. A2) Error servidor: mensaje y recuperación.","Rendimiento: lista acotada. Seguridad: solo propio user_id.","Media"
"UC-09","Limpiar ofertas guardadas","Usuario","Sistema","Estar autenticado con rol user; existir guardados","Registros job_likes del usuario eliminados","1) Usuario solicita limpiar. 2) UI envía POST /matches/clearJobs con CSRF. 3) Sistema elimina job_likes del user.","A1) CSRF inválido: 403. A2) Sin elementos: operación idempotente.","Seguridad: CSRF. Integridad: operación idempotente.","Baja"
"UC-10","Ver perfil propio","Usuario/Reclutador","Sistema","Estar autenticado","Perfil renderizado; sección de ofertas de la cuenta disponible","1) Accede a /mi-perfil. 2) Sistema obtiene datos del user. 3) UI renderiza perfil. 4) UI carga 'Mis ofertas' desde endpoint de cuenta.","A1) Usuario no existe: redirige. A2) Error servidor: mensaje genérico.","Privacidad: email solo en modo propio. UX: responsive.","Media"
"UC-11","Editar perfil","Usuario/Reclutador","Sistema","Estar autenticado","Datos del perfil actualizados; sesión sincronizada","1) Accede a /editar-perfil. 2) Modifica nombre/ubicación/avatar/contraseña. 3) Envía con CSRF. 4) Sistema valida, guarda, actualiza sesión y confirma.","A1) CSRF inválido: 403. A2) Avatar inválido: error. A3) Contraseñas no coinciden: error.","Seguridad: CSRF, validación archivos. Integridad: validación de longitud.","Media"
"UC-12","Crear oferta","Reclutador","Sistema","Estar autenticado; rol recruiter","Nueva fila en jobs con recruiter_id; status draft/published","1) Accede a /crear-oferta. 2) Completa campos obligatorios. 3) Envía POST /Recruiter/saveJob con CSRF. 4) Sistema valida y persiste jobs.","A1) Campos obligatorios faltantes: 400 con errores. A2) CSRF inválido: 403. A3) Error BD: 500.","Seguridad: CSRF. Integridad: recruiter_id. Auditoría: job_action.","Alta"
"UC-13","Editar oferta","Reclutador","Sistema","Estar autenticado; ser dueño de la oferta","Oferta actualizada","1) Accede a /crear-oferta?id=ID. 2) Sistema precarga oferta del dueño. 3) Modifica y guarda. 4) Sistema valida ownership y actualiza.","A1) No propietario: 403/redirect. A2) ID inválido: redirect. A3) Validación: 400.","Seguridad: control de acceso por owner. Integridad: actualización consistente.","Alta"
"UC-14","Publicar/Despublicar oferta","Reclutador","Sistema","Estar autenticado; ser dueño de la oferta","Status de jobs actualizado (published/draft)","1) En Mis ofertas, selecciona activar/desactivar. 2) UI envía POST /Recruiter/jobStatus con CSRF. 3) Sistema valida owner y actualiza status.","A1) CSRF inválido: 403. A2) No propietario: 403. A3) Status inválido: 400.","Seguridad: CSRF + owner. Integridad: estados permitidos.","Media"
"UC-15","Eliminar oferta","Reclutador","Sistema","Estar autenticado; ser dueño de la oferta","Fila eliminada de jobs","1) En Mis ofertas, elimina. 2) UI envía POST /Recruiter/deleteJob con CSRF. 3) Sistema valida owner y elimina.","A1) CSRF inválido: 403. A2) No propietario: 403. A3) ID inválido: 400.","Seguridad: CSRF + owner. Integridad: borrado controlado.","Media"
"UC-16","Ver Mis ofertas","Reclutador","Sistema","Estar autenticado","Listado de ofertas de la cuenta con estadísticas de postulaciones","1) Accede a /mis-ofertas. 2) UI solicita /Recruiter/myJobsData. 3) Sistema retorna jobs del recruiter con conteo de job_likes.","A1) Sin ofertas: mensaje. A2) Error servidor: fallback.","Rendimiento: query con agregación. UX: acciones sin recarga.","Alta"
"UC-17","Ver perfil público de reclutador","Invitado/Usuario","Sistema","Existir reclutador y ofertas publicadas","Perfil público renderizado con ofertas activas","1) Accede a /reclutador/{id}. 2) Sistema valida rol recruiter. 3) UI muestra perfil y carga ofertas activas (published).","A1) Reclutador no existe/no es recruiter: redirige. A2) Sin ofertas: mensaje.","Privacidad: ocultar email. Seguridad: solo published.","Media"
"UC-18","Ver pipeline de reclutamiento","Reclutador","Sistema","Estar autenticado con rol recruiter","Lista combinada de candidatos guardados y postulantes reales visible","1) Accede a /reclutamiento. 2) UI solicita /Recruiter/pipelineData. 3) Sistema retorna pipeline (candidate_likes + job_likes).","A1) Sin elementos: mensaje. A2) Error servidor: mensaje.","Rendimiento: filtros e índices. Trazabilidad: auditoría de postulaciones.","Alta"
"UC-19","Filtrar pipeline","Reclutador","Sistema","Estar autenticado; estar en /reclutamiento","Lista filtrada según parámetros","1) Selecciona job/estado/consulta/experiencia. 2) Pulsa aplicar. 3) UI solicita /Recruiter/pipelineData?filters. 4) Sistema devuelve subset y meta.filters_active.","A1) Filtros dejan lista vacía: UI alerta 'sin resultados por filtros'.","UX: feedback explícito. Rendimiento: índices + paginación futura.","Media"
"UC-20","Actualizar estado de candidatura","Reclutador","Sistema","Estar autenticado; existir entrada en pipeline","Estado actualizado en candidate_likes o job_likes según tipo","1) Cambia estado o vacante en tarjeta. 2) UI envía POST /Recruiter/pipelineUpdate (candidate_id, status, job_id, entry_type). 3) Sistema valida y persiste.","A1) CSRF inválido: 403. A2) entry_type inválido: fallback seguro. A3) job_id requerido para job_applicant: rechaza.","Seguridad: CSRF. Integridad: estados permitidos. Auditoría: logs.","Alta"
"UC-21","Ver candidatos (swipe)","Reclutador","Sistema","Estar autenticado con rol recruiter","Candidatos cargados para swipe","1) Accede a /candidatos. 2) Sistema carga candidates paginados. 3) UI presenta tarjetas.","A1) Sin candidatos: mensaje. A2) Error servidor: fallback.","Rendimiento: paginación. UX: mobile-first.","Media"
"UC-22","Guardar candidato al pipeline","Reclutador","Sistema","Estar autenticado; existir candidato","Registro creado en candidate_likes con status inicial","1) En /candidatos, marca Like. 2) UI envía POST /matches/likeCandidate con CSRF. 3) Sistema inserta candidate_likes y asegura status/updated_at.","A1) CSRF inválido: 403. A2) candidate_id inválido: 400. A3) Duplicado: se ignora por UQ (recruiter_id,candidate_id).","Seguridad: CSRF. Integridad: UQ. Trazabilidad: actualización updated_at.","Media"
